projectID,acronym,title,objective,frameworkProgramme,ecMaxContribution
202222,PREDICT-IV,Profiling the toxicity of new drugs: a non animal-based approach integrating toxicodynamics and biokinetics,"The overall aim of Predict-IV is to develop strategies to improve the assessment of drug safety in the early stage of development and late discovery phase, by an intelligent combination of non animal-based test systems, cell biology, mechanistic toxicology and in-silico modelling, in a rapid and cost effective manner. A better prediction of the safety of an investigational compound in early development will be delivered. Margins-of-safety will be deduced and the data generated by the proposed approach may also identify early biomarkers of human toxicity for pharmaceuticals. The results obtained in Predict-IV will enable pharmaceutical companies to create a tailored testing strategy for early drug safety. The project will integrate new developments to improve and optimize cell culture models for toxicity testing and to characterize the dynamics and kinetics of cellular responses to toxic effects in vitro. The target organs most frequently affected by drug toxicity will be taken into account, namely liver and kidney. Moreover, predictive models for neurotoxicty are scarce and will be developed. For each target organ the most appropriate cell model will be used. The approach will be evaluated using a panel of drugs with well described toxicities and kinetics in animals and partly also in humans. This approach will be highly advantageous as it will allow a direct comparison between the in vivo to the in vitro data. A parallel analysis of several dynamic and kinetic models with a broad spectrum of endpoints should allow for the identification of several relevant biomarkers of toxicity. Inter-individual susceptibilities will be taken into account by integrating the polymorphisms of the major drug metabolizing enzymes and correlating the observed effects in the human cell models with their genotype. Environmental influences on cellular toxicity to these compounds will also be evaluated using hypoxic stress as a relevant test model.",FP7,11330906
212668,CADASTER,CAse studies on the Development and Application of in-Silico Techniques for Environmental hazard and Risk assessment,"Implementation of REACH requires demonstration of the safe manufacture and use of chemicals. REACH aims to achieve a proper balance between societal, economic and environmental objectives, and attempts to efficiently use the scarce and scattered information available on the majority of substances. Thereupon REACH aims to reduce animal testing by optimized use of in silico and in vitro information on related compounds. The REACH proposals advocate the use of non-animal testing methods, but guidance is needed on how these methods should be used. The procedures include alternative methods such as chemical and biological read-across, in vitro results, in vivo information on analogues, (Q)SARs, and exposure-based waiving. The concept of Intelligent Testing Strategies for regulatory endpoints has been outlined to facilitate the assessments. Intensive efforts are needed to translate the concept into a workable, consensually acceptable, and scientifically sound strategy. CADASTER aims at providing the practical guidance to integrated risk assessment by carrying out a full hazard and risk assessment for chemicals belonging to four compound classes. A DSS will be developed that will be updated on a regular basis in order to accommodate and integrate the alternative methods mentioned above. Operational procedures will be developed, tested, and disseminated that guide a transparent evaluation of four classes of emerging chemicals, explicitly taking account of variability and uncertainty in data and in models. The main goal is to exemplify the integration of information, models and strategies for carrying out safety-, hazard- and risk assessments for large numbers of substances. Real risk estimates will be delivered according to the basic philosophy of REACH of minimizing animal testing, costs, and time. CADASTER will show how to increase the use of non-testing information for regulatory decision whilst meeting the main challenge of quantifying and reducing uncertainty.",FP7,2692034
218129,DIA-CHIP,ChIP and MIRA for clinical diagnosis,"DIA-ChIP seeks to develop state-of-the-art molecular techniques for the routine high-throughput analysis of clinical samples for advanced molecular diagnosis and biomedical research. This will be achieved through a collaborative partnership between academic, SME and public health partners interacting through the IAPP, and the secondments and recruitments it supports. New molecular diagnostics in clinical pathology need to be robust, cost effective and offer significant advantages over existing techniques. With the move towards personalised medicine the specificity of diagnosis will need to be enhanced significantly, yet in the short to medium term will need to be compatible with current gold standards of analysis. In this project the focus will be on the most important cancer affecting the female European population – Breast Cancer. The ability to analyse archived clinical material is currently limited to immuno-histochemistry and quantification the native biomolecules (DNA, RNA, protein). The advent of functional characterisation of these molecules i.e. DNA-protein interactions and DNA status will provide information to enhance diagnostic histopathology. Application to archival material will provide access to a hugely valuable resource and will contribute significantly to scientific understanding of disease processes by allowing the examination of large patient cohorts, and by facilitating direct comparison to model systems. Also by examining patient samples in concert with model human cell culture systems, alternatives to animal model systems will be developed.  DIA-ChIP features the creation of a strategic partnership between 4 groups that is critical in realising the project. The partners will develop strong long-term collaborative links for future research projects and intellectual exchange that will serve to strengthen each of the partners positions. The ultimate aim is to ensure long-term co-operation between all sectors -Business, Academic, Public Health",FP7,731042
218688,IMVITER,Implementation of Virtual Testing in Safety Regulations,"Computer aided engineering is a routinely used technology for the design and testing of road vehicles, including the simulation of their response to an impact and the prediction of the risk of injuries sustained by the potential victims. But, so far, the release of a vehicle on the market still depends on the verification of the product compliance with safety standards through a series of type approval physical tests. To increase car industry competitiveness by reducing the burden of this type approval test system and to improve road safety by raising the quality level of protection measures, recent initiatives have been taken by both industry and public authorities, to promote the use of alternative ways (e.g. virtual test through numerical simulation) to check vehicle compliance with safety standards.   The main objective of this project is the implementation of virtual (VT) procedures in existing safety standards by consolidation of advanced VT technologies, analyzing the ensuing costs and benefits and looking for the improvement of homologation procedures as well as setting the base for improvement of integrative safety.   The achievement of this objective implies among others, that the accuracy of the simulation models and procedures can be assured and rated independently of the modelling process, software tools, computing platform and the performing organization (end user). Procedures that consider uncertainties due to different real tests results (depending on the lab performing), input parameters dispersion, etc. will be taken into account in these processes.   In this project, the future potential of Virtual Testing will be investigated not only to fully substitute real testing (RT) in regulations but also to define procedures for fully virtual testing including biomechanics validation of real and virtual test devices and to evaluate transferring the process of VT to new advanced safety systems (active and pre-crash safety systems).",FP7,3199630
220383,TRANSHESC,Generation of stable transgenic embryonic stem cell lines,"Human embryonic stem cells (hESC) are pluripotent cells derived from blastocyst stage early embryos. Since the original publication a vast number of studies have described the differentiation of hESC and their potential in regenerative medicine. It is now well known that hESC might be used in cell replacement therapies in a number of severe degenrative diseases like Type I diabetes or Parkinson’s disease. In addition, hESCs and their derivatives could be used as tools in discovering new drugs and in understanding mechanisms of genetic diseases. HESC applications could also be used in toxicological studies reducing the need of animal experiments. Genetic manipulation of hESC will be a crucial issue in a variety of future studies. To elucidate the role of any given gene for example in directed differentiation or pathogenesis the loss- and gain-of gene function approaches are of major importance. Also, considering the potential therapeutic applications of the hESC their genetic modifications may be necessary. The first part of this proposal is designed to improve and test novel efficient and safe transposon-based gene transfer method in generating conditional transgenic hESC lines. Of special interest is the use of insulator elements around transgene to assure nonbiased expression of the integrated sequences. Several reports have indicated that in long term hESC cultures the cells aquire chromosomal aberrations. The observed karyotypic changes probably reflect the progressive adaptation of self-renewing cells to their culture conditions. This process has parallels with malignant transformation. Changes observed in hESC in culture reflect tumorigenic events that occur in vivo, particularly in testicular germ cell tumors (TGCT). A recent report indicated the formation of a chromosomal homogeneous staining region (HSR) in some hESC lines, a feature almost a hallmark of cancer cells. The HSR represents an amplified small chromosomal region most likely containing gene",FP7,243268.29
220946,BIOASSAYDEVICE,A device for biological high-throughput assays based on in vitro compartmentalisation,"The vision of putting a lab on a chip has far reaching implications for biological research. Microfluidic systems can now be built that - for example in past research by the applicant - can be used for protein crystallisation with only minute amount of precious proteins. A second challenge is to carry out functional biological assays on a chip. Such assays are used in high-throughput screening, e.g. for novel drug molecule or protein mutants with improved properties for directed evolution of functional proteins. In each case the economy of the assay system (total numbers screened, speed, reliability, quality of the kinetic readout) will crucially determine the success of this combinatorial approach. Water-in-oil droplets within microfluidic channels have the potential to serve as isolated reaction compartments, just like natural cells. Their femtolitre volumes minimise sample consumption and eliminate dispersion of substrates or products. To this end the candidate will build novel microfluidic devices that incoproprate the principle of in vitro compartementalisation. The fabrication of this device, and especially the integration of the various components is a significant challenge.",FP7,178874.06
221117,ALGETOX,Chemistry and Chemical Biology of Lipophilic Algal Toxins,"Improved methods will be developed for isolation of lipophilic marine algal toxins (azaspiracids, pectenotoxins, yessotoxins and okadaic acid analogues) and their metabolites from algae and shellfish. Derivatives such as labelled analogues will also be produced. These materials will be used in collaborative studies to perform toxicology, identify toxin mode-of-action, and develop improved or validated analytical methods (e.g. ELISA, immunoaffinity cleanup, LC-MS). Information obtained will lead to improved regulatory levels for algal toxins and reduced use of animals (3Rs principal) for routine testing of algal toxins in shellfish.",FP7,289105.4
221564,ZEBRASOMWNT,Role of canonical Wnt signaling during somite formation in the zebrafish embryo,"Segmental elements of the vertebrate body plan, such as vertebrae, ribs and most skeletal muscles, derive from embryonic somites. Somitogenesis is a spatially periodic process that is prefigured in the presomitic mesoderm (PSM) by coordinated oscillations of gene expression that set the rhythm of the “segmentation clock”. The position in the PSM where these oscillations arrest is termed the determination front and is the site where segment boundary is positioned. Although the Delta/Notch pathway has recently been shown to synchronize oscillating cells, little is known about the molecular mechanisms that define the determination front and link it to the segmentation clock. The Wnt pathway has been hypothesized to provide such a link in mouse and chick, but its early effects on mesoderm specification and tail formation have made studying its role in later somite patterning difficult. Here we propose to investigate the role of Wnt signaling during somitogenesis in the zebrafish embryo, which offers unique accessibility to both genetics and imaging. In order to uncouple Wnt function in early mesoderm specification and somite patterning, we will use inducible transgenic zebrafish lines to transiently modulate Wnt signaling later in development. Our preliminary results clearly show that this transient disruption of Wnt specifically affects somite patterning. Thus we will combine this method with analysis of determination markers, boundary formation and oscillating gene expression to further explore the role of Wnt. We will also use a new quantitative time-lapse method to measure potential changes in oscillator period. Finally, we will test genetic interactions between Wnt and the Notch pathway by using mutant lines available in the Oates lab. Our project will thus take advantage of the zebrafish model to investigate the spatial and temporal functions of Wnt signaling in somitogenesis, providing a combined analysis at tissue, cellular and molecular levels.",FP7,158694.85
221740,TRANSSIADRUG,Chagas' disease - Inhibitor discovery and optimization for Trypanosoma cruzi trans-sialidase,"This proposal focus on finding new potential lead compounds to inhibit the trans-sialidase of Trypanosoma cruzi, as a step towards finding a drug against Chagas’ disease. A new high through-put enzyme assay will be used to scan a large library of small molecules and in combination with in silico pharmacophoric modelling this is expected to provide new types of scaffolds as well as identifying important functionalities in the ligand. Based on the obtained information a set of ligands will be designed. These ligands will be synthesised and further evaluated through the enzyme assay, kinetic and thermodynamical studies as well as structural studies. In an iterative optimization, these tools will be combined to obtain future generations of inhibitory ligands.",FP7,157288.66
223317,LIV-ES,Development of culture conditions for the differentiation of hES cells into hepatocytes,"The liver is associated with many types of diseases which can only be treated by Orthotopic liver transplants. However, shortage of organ donors represents a major limitation for wide-application of this therapy. Additionally, expansion of fully-functional hepatocytes in vitro remains an important challenge for the drug discovery industry. Human Embryonic Stem cells (hESCs) offer a promising new solution to these problems. hESCs are able to grow indefinitely in vitro while maintaining their capacity to differentiate to all types of cells. Here we propose to develop standardized, animal-free culture conditions to promote the differentiation and expansion of fully-functional hepatocytes from hESCs using four complementary Workpackages (WPs): Development of novel tools: WP1 will develop 3-D growth matrices, lentivirus-based reporter systems, liver-specific endothelial cells and a miRNA platform to facilitate the sequential process of establishing standardized, animal-free conditions to produce ES-derived hepatocytes.   Generation of Anterior Definitive Endoderm multipotent stem cells: WP2 will define culture conditions to drive differentiation of hESCs to ADE cells, the earliest progenitors of liver cells during mammalian development. Proof-of-principle of conditions will be validated using the various hESC lines available from partners. Differentiation and expansion of hepatic progenitors from multipotent ADE cells using defined conditions: WP3 will be devoted to the generation of hepatic progenitors from ADE cells. Function will be validated in vitro and in vivo using human foetal hepatic progenitors and HepaRG human hepatoma cells as positive controls. Generation of mature hepatocytes from ES-derived hepatic progenitors: WP4 will generate functional hepatocyte lines suitable for drug testing and future preclinical evaluation.  Results of the LIV-ES project will provide new insights into stem cell biology and establish a rationale basis for cell-based therapies.",FP7,2999879
223410,BEST-STEM CELLS,Biochemically Equivalent Substitutive Technology for Stem Cells,"Current technology to control embryonic and adult stem cell behaviour is dependent on conventional in vitro culture systems and crude factors such as serum and purified proteins, often sourced from vertebrate animal tissue. These factors contribute to variations in cell properties and differentiation potential which impact on the efficacy of cell culture. More worryingly these factors are potential avenues for the introduction of unknown or known pathogens with the capacity to infect transplant recipients thereby becoming communicable to the general population. Especially concerning is the opportunity for transmission of potentially lethal diseases across vertebrate species for which there are no known cures. The propensity of primitive stem cell populations to spontaneously differentiate is an added challenge which generally necessitates cumbersome manipulation of cells by skilled operators involving daily assessment, media replenishment and or cell passaging by physical dissociation. Realising the promise of stem cells and their derivatives for clinical and industrial applications therefore requires the evolution of new paradigms for cell culture which maximise chemical definition, minimise the involvement of skilled operators, and offer non-invasive modulation of cells by biocompatible means. The aim of this proposal is to discover and integrate with established and new cell culture technology, synthetic and non-vertebrate derived purified molecules with a capacity to mimic the functional properties of crude biological reagents currently used to control the behaviour of embryonic and adult stem cells, most notably affecting self-renewal, pluripotency, lineage specification and stability following cryopreservation. These will be validated to deliver new culture paradigms designed for compliance with Good Manufacturing Practice Standards necessary for the delivery of clinical grade cells for therapeutic use.",FP7,2999067
226552,RISKCYCLE,Risk-based management of chemicals and products in a circular economy at a global scale,"Many potentially hazardous compounds are traded as chemicals or incorporated as additives in products. Their release to the environment has been a concern of EC, UNO, WHO and OECD. The discussion of the assessment and management of chemicals and products led to the OECD program Globally Harmonised System of Classification and Labelling of Chemicals (GHS). The World Summit encouraged countries to implement GHS with a view of having the system operating by 2008. The need to form GHS on a global scale is part of EU policy. GHS aims to have the same criteria worldwide to classify the responsible trade and handling of chemicals and at the same time protect human health. The EU will ensure transition from the current EU Classification & Labelling (C+L) to the GHS which harmonizes with REACH. Countries like Japan and the USA announced to implement GHS in the near future. UNITAR supports other countries. However, a complete picture on the global state of implementation is not available. With the growing level of worldwide trade we however face unsafe products on the marked. Only last year reports about toys releasing hazardous components made it to headlines. Vietnam reported that all kind of plastic gets recycled and sold back to the market. This shows that global trade in a circular economy is not acceptable without globally agreed assessment methods and harmonised C+L. A ECB study revealed that the EU regulation REACH will require 3.9 mill. additional test animals if no alternative methods are accepted. The number of additional tests are unknown when GHS is implemented in a global scale. The CA RISKCYCLE will include experts from OECD, UNEP, SusChem, country experts from Asia, America and Europe. The overall objective of the project is to define with international experts future needs of R+D contributions for innovations in the field of risk-based management of chemicals and products in a global perspective using alternative testing strategies to minimize animal tests.",FP7,996148.08
